Date,Steps
2018-09-18 10:17,0
2018-09-18 12:00,0
2018-09-18 13:00,0
2018-09-18 14:00,0
2018-09-18 15:00,0
2018-09-18 16:00,0
2018-09-18 17:00,61
2018-09-18 18:00,432
2018-09-18 19:00,930
2018-09-18 20:00,98
2018-09-18 21:00,17
2018-09-18 22:00,61
2018-09-18 23:00,756
2018-09-19 00:00,1183
2018-09-19 01:00,32
2018-09-19 02:00,0
2018-09-19 03:00,0
2018-09-19 04:00,0
2018-09-19 05:00,0
2018-09-19 06:00,0
2018-09-19 07:00,0
2018-09-19 08:00,1195
2018-09-19 09:00,397
2018-09-19 10:00,500
2018-09-19 11:00,356
2018-09-19 12:00,1960
2018-09-19 13:00,1107
2018-09-19 14:00,99
2018-09-19 15:00,0
2018-09-19 16:00,290
2018-09-19 17:00,1618
2018-09-19 18:00,1073
2018-09-19 19:00,1754
2018-09-19 20:00,482
2018-09-19 21:00,0
2018-09-19 22:00,1962
2018-09-19 23:00,112
2018-09-20 00:00,157
2018-09-20 01:00,117
2018-09-20 02:00,0
2018-09-20 03:00,0
2018-09-20 04:00,0
2018-09-20 05:00,0
2018-09-20 06:00,0
2018-09-20 07:00,0
2018-09-20 08:00,507
2018-09-20 09:00,229
2018-09-20 10:00,1199
2018-09-20 11:00,120
2018-09-20 12:00,213
2018-09-20 13:00,2959
2018-09-20 14:00,349
2018-09-20 15:00,814
2018-09-20 16:00,0
2018-09-20 17:00,0
2018-09-20 18:00,236
2018-09-20 21:00,856
2018-09-20 22:00,19
2018-09-20 23:00,70
2018-09-21 01:00,41
2018-09-21 02:00,0
2018-09-21 03:00,0
2018-09-21 05:00,0
2018-09-22 16:00,309
2018-09-22 17:00,839
2018-09-22 18:00,514
2018-09-22 19:00,557
2018-09-22 20:00,456
2018-09-22 21:00,299
2018-09-22 22:00,218
2018-09-22 23:00,4006
2018-09-23 00:00,355
2018-09-23 01:00,134
2018-09-23 02:00,0
2018-09-23 03:00,0
2018-09-23 04:00,0
2018-09-23 05:00,0
2018-09-23 06:00,0
2018-09-23 07:00,0
2018-09-23 08:00,0
2018-09-23 09:00,0
2018-09-23 10:00,800
2018-09-23 11:00,684
2018-09-23 12:00,844
2018-09-23 13:00,339
2018-09-23 14:00,148
2018-09-23 15:00,644
2018-09-23 16:00,0
2018-09-23 17:00,70
2018-09-23 18:00,182
2018-09-23 19:00,79
2018-09-23 20:00,263
2018-09-23 21:00,183
2018-09-23 22:00,138
2018-09-23 23:00,1078
2018-09-24 00:00,103
2018-09-24 01:00,59
2018-09-24 02:00,0
2018-09-24 03:00,0
2018-09-24 04:00,0
2018-09-24 05:00,0
2018-09-24 06:00,0
2018-09-24 07:00,0
2018-09-24 08:00,0
2018-09-24 09:00,0
2018-09-24 10:00,0
2018-09-24 11:00,0
2018-09-24 12:00,498
2018-09-24 13:00,211
2018-09-24 14:00,104
2018-09-24 15:00,908
2018-09-24 16:00,10
2018-09-24 17:00,3115
2018-09-24 18:00,1611
2018-09-24 19:00,150
2018-09-24 20:00,173
2018-09-24 21:00,19
2018-09-24 22:00,561
2018-09-24 23:00,281
2018-09-25 00:00,88
2018-09-25 01:00,0
2018-09-25 02:00,0
2018-09-25 03:00,0
2018-09-25 04:00,0
2018-09-25 05:00,0
2018-09-25 06:00,0
2018-09-25 07:00,0
2018-09-25 08:00,0
2018-09-25 09:00,40
2018-09-25 10:00,1342
2018-09-25 11:00,778
2018-09-25 12:00,37
2018-09-25 13:00,483
2018-09-25 14:00,118
2018-09-25 15:00,236
2018-09-25 16:00,365
2018-09-25 17:00,1578
2018-09-25 18:00,871
2018-09-25 19:00,899
2018-09-25 20:00,166
2018-09-25 21:00,1102
2018-09-25 22:00,1959
2018-09-25 23:00,703
2018-09-26 00:00,155
2018-09-26 01:00,0
2018-09-26 02:00,0
2018-09-26 03:00,0
2018-09-26 04:00,0
2018-09-26 05:00,0
2018-09-26 06:00,0
2018-09-26 07:00,0
2018-09-26 08:00,0
2018-09-26 09:00,191
2018-09-26 10:00,0
2018-09-26 11:00,1238
2018-09-26 13:00,1263
2018-09-26 14:00,538
2018-09-26 15:00,1030
2018-09-26 16:00,42
2018-09-26 17:00,780
2018-09-26 18:00,304
2018-09-26 19:00,1409
2018-09-26 20:00,331
2018-09-26 21:00,51
2018-09-26 22:00,710
2018-09-26 23:00,0
2018-09-27 00:00,482
2018-09-27 01:00,0
2018-09-27 02:00,0
2018-09-27 03:00,0
2018-09-27 04:00,0
2018-09-27 05:00,0
2018-09-27 06:00,0
2018-09-27 07:00,0
2018-09-27 08:00,0
2018-09-27 09:00,0
2018-09-27 10:00,129
2018-09-27 11:00,34
2018-09-27 12:00,15
2018-09-27 13:00,165
2018-09-27 14:00,569
2018-09-27 15:00,38
2018-09-27 16:00,101
2018-09-27 17:00,614
2018-09-27 18:00,439
2018-09-27 19:00,878
2018-09-27 20:00,125
2018-09-27 21:00,152
2018-09-27 22:00,110
2018-09-27 23:00,595
2018-09-28 00:00,0
2018-09-28 01:00,105
2018-09-28 02:00,0
2018-09-28 03:00,0
2018-09-28 04:00,0
2018-09-28 05:00,0
2018-09-28 06:00,0
2018-09-28 07:00,0
2018-09-28 08:00,0
2018-09-28 09:00,253
