Date,Carbohydrates
18/09/2018 18:33,8
18/09/2018 20:54,26
19/09/2018 04:02,8
19/09/2018 07:05,15
19/09/2018 07:08,15
19/09/2018 09:13,40
19/09/2018 13:49,20
19/09/2018 14:18,45
19/09/2018 16:47,0
19/09/2018 17:59,10
19/09/2018 21:30,40
19/09/2018 22:04,25
19/09/2018 22:11,0
20/09/2018 00:20,0
20/09/2018 09:15,40
20/09/2018 13:20,18
20/09/2018 14:18,43
20/09/2018 14:35,15
20/09/2018 15:45,0
20/09/2018 17:24,10
20/09/2018 19:45,20
20/09/2018 21:01,45
21/09/2018 00:10,13
22/09/2018 19:03,13
22/09/2018 19:23,15
22/09/2018 23:04,5
23/09/2018 01:01,13
23/09/2018 09:44,10
23/09/2018 09:53,36
23/09/2018 14:39,30
23/09/2018 15:31,0
23/09/2018 16:09,0
23/09/2018 17:20,0
23/09/2018 18:55,12
23/09/2018 20:08,0
23/09/2018 21:17,70
24/09/2018 00:07,0
24/09/2018 09:41,40
24/09/2018 13:39,30
24/09/2018 16:01,10
24/09/2018 16:52,0
24/09/2018 18:48,1
24/09/2018 20:41,40
24/09/2018 21:23,25
24/09/2018 22:29,1
25/09/2018 00:42,1
25/09/2018 09:44,40
25/09/2018 13:37,56
25/09/2018 16:28,13
25/09/2018 19:14,40
25/09/2018 19:35,36
25/09/2018 21:35,1
25/09/2018 23:27,2
26/09/2018 09:27,40
26/09/2018 12:24,13
26/09/2018 13:54,30
26/09/2018 14:47,1
26/09/2018 19:45,8
26/09/2018 20:54,40
26/09/2018 21:35,30
26/09/2018 23:20,1
27/09/2018 00:39,1
27/09/2018 09:08,40
27/09/2018 14:07,40
27/09/2018 16:52,1
27/09/2018 18:16,12
27/09/2018 18:41,15
27/09/2018 21:28,42
27/09/2018 22:24,30
28/09/2018 00:44,1
28/09/2018 01:07,1
28/09/2018 09:59,40
28/09/2018 14:13,40
28/09/2018 15:49,1
28/09/2018 18:19,1
28/09/2018 20:33,70
28/09/2018 22:15,1
29/09/2018 10:17,48
29/09/2018 11:50,1
29/09/2018 13:48,32
29/09/2018 14:47,1
29/09/2018 16:43,10
29/09/2018 17:19,1
29/09/2018 17:56,1
29/09/2018 21:03,30
29/09/2018 21:59,30
29/09/2018 23:54,12
30/09/2018 09:31,55
30/09/2018 13:13,44
30/09/2018 19:13,1
30/09/2018 20:10,20
30/09/2018 20:38,40
01/10/2018 08:08,45
01/10/2018 08:45,2
01/10/2018 13:11,40
01/10/2018 20:40,1
01/10/2018 21:25,40
01/10/2018 22:04,28
02/10/2018 08:16,44
02/10/2018 10:44,15
02/10/2018 12:46,25
02/10/2018 14:08,1
02/10/2018 20:12,25
02/10/2018 20:52,1
05/10/2018 13:00,1
05/10/2018 13:34,40
05/10/2018 21:38,55
06/10/2018 00:21,1
06/10/2018 04:55,10
06/10/2018 09:49,60
06/10/2018 12:12,10
06/10/2018 14:33,36
06/10/2018 14:46,20
06/10/2018 17:36,1
06/10/2018 19:39,40
06/10/2018 23:15,1
07/10/2018 00:00,25
07/10/2018 11:03,45
07/10/2018 12:57,10
07/10/2018 14:40,10
07/10/2018 16:27,15
